470298628,CR-NTPase4+CR-REase6,-,CR-NTPase4+Tox-Deam-CxE,CAOG_05551,682,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
514484649,CR-NTPase4,-,CR-NTPase4+Tox-Deam-CxE,CAOG_05551,682,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05551 [Capsaspora owczarzaki ATCC 30864]. 
470309666,CR-NTPase4,-,SEM1+CR-NTPase4,CAOG_03310,826,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03310 [Capsaspora owczarzaki ATCC 30864]. 
514484558,CR-NTPase4,-,CR-NTPase4,CAOG_08956,818,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08956 [Capsaspora owczarzaki ATCC 30864]. 
514484364,CR-NTPase4,-,CR-NTPase4,CAOG_08990,312,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08990 [Capsaspora owczarzaki ATCC 30864]. 
514483775,CR-NTPase4,-,CR-NTPase4,CAOG_09094,630,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09094 [Capsaspora owczarzaki ATCC 30864]. 
514484756,CR-NTPase4,-,CR-NTPase4,CAOG_08844,563,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08844 [Capsaspora owczarzaki ATCC 30864]. 
514484180,CR-NTPase4,-,CR-NTPase4,CAOG_09012,638,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09012 [Capsaspora owczarzaki ATCC 30864]. 
470310363,CR-NTPase4,-,CR-NTPase4,CAOG_03464,379,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03464 [Capsaspora owczarzaki ATCC 30864]. 
470288072,CR-NTPase4,-,CR-NTPase4,CAOG_08283,423,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08283 [Capsaspora owczarzaki ATCC 30864]. 
514483925,CR-NTPase4,-,CR-NTPase4,CAOG_09122,591,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09122 [Capsaspora owczarzaki ATCC 30864]. 
470361721,CR-NTPase4,-,CR-NTPase4,CAOG_00303,827,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
514483664,CR-NTPase4,-,CR-NTPase4,CAOG_09055,751,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09055 [Capsaspora owczarzaki ATCC 30864]. 
514483446,CR-NTPase4,-,CR-NTPase4,CAOG_09177,134,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein CAOG_09177, partial [Capsaspora owczarzaki ATCC 30864]."
514486779,CR-NTPase4,-,CR-NTPase4,CAOG_00303,854,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_00303 [Capsaspora owczarzaki ATCC 30864]. 
514486333,CR-NTPase4,-,CR-NTPase4,CAOG_08497,810,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08497 [Capsaspora owczarzaki ATCC 30864]. 
514483398,CR-NTPase4,-,CR-NTPase4,CAOG_09216,421,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein CAOG_09216, partial [Capsaspora owczarzaki ATCC 30864]."
514483914,CR-NTPase4,-,CR-NTPase4,CAOG_09120,294,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein CAOG_09120, partial [Capsaspora owczarzaki ATCC 30864]."
514484966,CR-NTPase4,BLVR,CR-NTPase4,CAOG_08793,795,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08793 [Capsaspora owczarzaki ATCC 30864]. 
470289593,CR-NTPase4,-,CR-NTPase4,CAOG_07830,766,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
470308391,CR-NTPase3,-,CR-NTPase3+CR-NTPase4,CAOG_02973,696,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02973 [Capsaspora owczarzaki ATCC 30864]. 
470288537,CR-NTPase1,-,CR-NTPase1,CAOG_08005,245,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08005 [Capsaspora owczarzaki ATCC 30864]. 
754345696,Caps-NTD1,Remorin_C,Caps-NTD1,CAOG_02834,659,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02834 [Capsaspora owczarzaki ATCC 30864]. 
754352617,Caps-NTD1,HTH_23+DDE_3,Caps-NTD1+PAIREDC-HTH,CAOG_09066,479,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09066 [Capsaspora owczarzaki ATCC 30864]. 
470291405,Caps-NTD1+CR-NTPase4,PRP3,Caps-NTD1+CR-NTPase4,CAOG_07513,902,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_07513 [Capsaspora owczarzaki ATCC 30864]. 
514484371,Caps-NTD1+CR-NTPase4,-,Caps-NTD1+CR-NTPase4,CAOG_08992,747,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08992 [Capsaspora owczarzaki ATCC 30864]. 
765555605,Caps-NTD1+CR-NTPase4,-,Caps-NTD1+CR-NTPase4,CAOG_008990,863,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_008990 [Capsaspora owczarzaki ATCC 30864].
765550125,Caps-NTD1+CR-NTPase4,Gal_Lectin+Integrin_beta+EGF_2+EGF_2+EGF_2+EGF_2+EGF_2+EGF_2+Integrin_b_cyt,INTEGRINBETA+PUPLIGASE+Caps-NTD1+CR-NTPase4+CR-NTPase4,CAOG_009484,2354,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009484 [Capsaspora owczarzaki ATCC 30864].
754351012,Caps-NTD1+CR-NTPase4,-,Caps-NTD1+CR-NTPase4,CAOG_08992,747,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08992 [Capsaspora owczarzaki ATCC 30864]. 
765557674,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1+Caps-NTD3,CAOG_010171,832,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_010171 [Capsaspora owczarzaki ATCC 30864].
514483492,Caps-NTD3+CR-NTPase1+CR-REase1,AAA_27,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_09152,699,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09152 [Capsaspora owczarzaki ATCC 30864]. 
514484609,Caps-NTD3+CR-NTPase1+CR-REase1,IFT20,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_05461,647,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05461 [Capsaspora owczarzaki ATCC 30864]. 
470321511,Caps-NTD3+CR-NTPase1+CR-REase1,KaiC,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_02292,633,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02292 [Capsaspora owczarzaki ATCC 30864]. 
754346048,Caps-NTD3+CR-NTPase1+CR-REase1,KaiC,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_03342,627,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03342 [Capsaspora owczarzaki ATCC 30864]. 
514485861,Caps-NTD3+CR-NTPase1+CR-REase1,KaiC,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_03342,627,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03342 [Capsaspora owczarzaki ATCC 30864]. 
765557099,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_010119,593,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_010119 [Capsaspora owczarzaki ATCC 30864].
514483491,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_09151,624,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09151 [Capsaspora owczarzaki ATCC 30864]. 
470288534,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_08004,685,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08004 [Capsaspora owczarzaki ATCC 30864]. 
754353224,Caps-NTD3+CR-NTPase1+CR-REase1,AAA_27,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_09152,699,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09152 [Capsaspora owczarzaki ATCC 30864]. 
470298323,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_05461,542,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05461 [Capsaspora owczarzaki ATCC 30864]. 
765557064,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_010118,642,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_010118 [Capsaspora owczarzaki ATCC 30864].
754349411,Caps-NTD3+CR-NTPase1+CR-REase1,IFT20,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_05461,647,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05461 [Capsaspora owczarzaki ATCC 30864]. 
765548201,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_009307,610,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009307 [Capsaspora owczarzaki ATCC 30864].
470305389,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_04491,714,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_04491 [Capsaspora owczarzaki ATCC 30864]. 
765551838,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_009662,572,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009662 [Capsaspora owczarzaki ATCC 30864].
754353222,Caps-NTD3+CR-NTPase1+CR-REase1,-,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_09151,624,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09151 [Capsaspora owczarzaki ATCC 30864]. 
470309842,Caps-NTD3+CR-NTPase1+CR-REase1,KaiC,Caps-NTD3+CR-NTPase1+CR-REase1,CAOG_03342,603,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03342 [Capsaspora owczarzaki ATCC 30864]. 
470302441,Caps-NTD3+CR-NTPase1,-,Caps-NTD3+PCNA+CR-NTPase1,CAOG_04874,418,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_04874 [Capsaspora owczarzaki ATCC 30864]. 
470302444,Caps-NTD3+CR-NTPase1,-,Caps-NTD3+CR-NTPase1,CAOG_04875,534,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_04875 [Capsaspora owczarzaki ATCC 30864]. 
754348727,Caps-NTD3+CR-NTPase1,-,Caps-NTD3+PCNA+CR-NTPase1,CAOG_08836,418,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08836 [Capsaspora owczarzaki ATCC 30864]. 
765553120,Caps-NTD3+CR-NTPase1,-,Caps-NTD3+CR-NTPase1,CAOG_004491,508,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_004491 [Capsaspora owczarzaki ATCC 30864].
765557675,Caps-NTD3+CR-NTPase1,AAA_27,Caps-NTD3+CR-NTPase1,CAOG_009152,492,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009152 [Capsaspora owczarzaki ATCC 30864].
765555126,Caps-NTD3,-,Caps-NTD3,CAOG_009961,113,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009961 [Capsaspora owczarzaki ATCC 30864].
470305768,Caps-NTD3,-,Caps-NTD3,CAOG_03545,324,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03545 [Capsaspora owczarzaki ATCC 30864]. 
514484778,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_05015,907,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05015 [Capsaspora owczarzaki ATCC 30864]. 
765558053,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_009200,934,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009200 [Capsaspora owczarzaki ATCC 30864].
765558142,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_010222,1079,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_010222 [Capsaspora owczarzaki ATCC 30864].
765553739,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_005015,959,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_005015 [Capsaspora owczarzaki ATCC 30864].
765556663,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_007463,832,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_007463 [Capsaspora owczarzaki ATCC 30864].
514486270,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-NTPase4+CR-REase6,CAOG_08632,1026,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08632 [Capsaspora owczarzaki ATCC 30864]. 
754348770,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_05015,907,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_05015 [Capsaspora owczarzaki ATCC 30864]. 
470299743,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_05015,905,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
765553740,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_005015,876,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein, variant 1 [Capsaspora owczarzaki ATCC 30864]. "
754353421,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_09200,870,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09200 [Capsaspora owczarzaki ATCC 30864]. 
514483422,Caps-NTD2+CR-NTPase4+CR-REase6,-,Caps-NTD2+CR-NTPase4+CR-REase6,CAOG_09200,870,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09200 [Capsaspora owczarzaki ATCC 30864]. 
765556134,Caps-NTD2+CR-NTPase4+CR-REase1,-,Caps-NTD2+CR-NTPase4,CAOG_009019,968,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009019 [Capsaspora owczarzaki ATCC 30864].
754351481,Caps-NTD2+CR-NTPase4+CR-REase1,-,Caps-NTD2+CR-NTPase4,CAOG_09019,921,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09019 [Capsaspora owczarzaki ATCC 30864]. 
514484197,Caps-NTD2+CR-NTPase4+CR-REase1,-,Caps-NTD2+CR-NTPase4,CAOG_09019,921,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09019 [Capsaspora owczarzaki ATCC 30864]. 
765556135,Caps-NTD2+CR-NTPase4+CR-REase1,-,Caps-NTD2+CR-NTPase4,CAOG_009019,947,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein, variant 1 [Capsaspora owczarzaki ATCC 30864]. "
514483410,Caps-NTD2+CR-NTPase4+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_09206,808,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09206 [Capsaspora owczarzaki ATCC 30864]. 
754353433,Caps-NTD2+CR-NTPase4+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_09206,808,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09206 [Capsaspora owczarzaki ATCC 30864]. 
765556137,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_009019,736,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein, variant 3 [Capsaspora owczarzaki ATCC 30864]. "
765556987,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_009120,673,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009120 [Capsaspora owczarzaki ATCC 30864].
765549139,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_009390,746,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009390 [Capsaspora owczarzaki ATCC 30864].
765557587,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4+SbcC,CAOG_009138,848,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein, variant [Capsaspora owczarzaki ATCC 30864]. "
514483478,Caps-NTD2+CR-NTPase4,DUF755,Caps-NTD2+CR-NTPase4,CAOG_09143,975,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09143 [Capsaspora owczarzaki ATCC 30864]. 
765557640,Caps-NTD2+CR-NTPase4,DUF755,Caps-NTD2+CR-NTPase4,CAOG_009143,1000,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009143 [Capsaspora owczarzaki ATCC 30864].
765556136,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_009019,757,eukaryota,Capsaspora owczarzaki ATCC 30864,"hypothetical protein, variant 2 [Capsaspora owczarzaki ATCC 30864]. "
514484562,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_08960,953,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08960 [Capsaspora owczarzaki ATCC 30864]. 
754353206,Caps-NTD2+CR-NTPase4,DUF755,Caps-NTD2+CR-NTPase4,CAOG_09143,975,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09143 [Capsaspora owczarzaki ATCC 30864]. 
754347220,Caps-NTD2+CR-NTPase4,FYDLN_acid,UBC+METHYLASE+Caps-NTD2+CR-NTPase4,CAOG_08703,3162,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08703 [Capsaspora owczarzaki ATCC 30864]. 
754352953,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4+SbcC,CAOG_09138,935,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09138 [Capsaspora owczarzaki ATCC 30864]. 
470308021,Caps-NTD1,-,Caps-NTD1,CAOG_02895,170,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02895 [Capsaspora owczarzaki ATCC 30864]. 
754350487,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_08960,953,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08960 [Capsaspora owczarzaki ATCC 30864]. 
514485401,Caps-NTD2+CR-NTPase4,FYDLN_acid,UBC+METHYLASE+Caps-NTD2+CR-NTPase4,CAOG_08703,3162,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08703 [Capsaspora owczarzaki ATCC 30864]. 
765555209,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_008962,911,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_008962 [Capsaspora owczarzaki ATCC 30864].
765547779,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_000060,906,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_000060 [Capsaspora owczarzaki ATCC 30864].
470327417,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_00060,886,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
765557586,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4+SbcC,CAOG_009138,945,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009138 [Capsaspora owczarzaki ATCC 30864].
754341808,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_00060,886,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_00060 [Capsaspora owczarzaki ATCC 30864]. 
514486666,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_00060,886,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_00060 [Capsaspora owczarzaki ATCC 30864]. 
470291195,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_07463,641,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_07463 [Capsaspora owczarzaki ATCC 30864]. 
765553139,Caps-NTD2,-,Caps-NTD2,CAOG_009775,239,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009775 [Capsaspora owczarzaki ATCC 30864].
765551079,Caps-NTD2,-,Caps-NTD2,CAOG_009584,274,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009584 [Capsaspora owczarzaki ATCC 30864].
470292347,Caps-NTD2,-,Caps-NTD2,CAOG_07729,308,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_07729 [Capsaspora owczarzaki ATCC 30864]. 
754353427,Caps-NTD2,-,Caps-NTD2,CAOG_09203,127,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09203 [Capsaspora owczarzaki ATCC 30864]. 
754350952,Caps-NTD2,-,Caps-NTD2,CAOG_08962,133,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08962 [Capsaspora owczarzaki ATCC 30864]. 
765551141,Caps-NTD1+CR-REase8,MAP7,Caps-NTD1+Caps-NTD3+CR-REase8,CAOG_002853,691,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_002853 [Capsaspora owczarzaki ATCC 30864].
765548752,Caps-NTD1+Caps-NTD1,-,Caps-NTD1+Caps-NTD1,CAOG_009347,487,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009347 [Capsaspora owczarzaki ATCC 30864].
765548803,Caps-NTD1+Caps-NTD1,-,Caps-NTD1+Caps-NTD1+7TMR-HDED,CAOG_009359,448,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_009359 [Capsaspora owczarzaki ATCC 30864].
470321701,Caps-NTD1+CR-REase8+CR-Kinase1,WEMBL,Caps-NTD1+Asp-B-Hydro+CR-REase8+STYKIN,CAOG_02339,780,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02339 [Capsaspora owczarzaki ATCC 30864]. 
470320628,Caps-NTD1+CR-REase8+CR-Kinase1,KfrA_N,Caps-NTD1+KfrA-HTH+CR-REase8+CR-Kinase1,CAOG_02089,698,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02089 [Capsaspora owczarzaki ATCC 30864]. 
765550226,Caps-NTD1+CR-REase8+CR-Kinase1,KfrA_N,Caps-NTD1+KfrA-HTH+CR-REase8+CR-Kinase1,CAOG_002089,723,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_002089 [Capsaspora owczarzaki ATCC 30864].
